activity,subject,tBodyAcc_mean_X,tBodyAcc_mean_Y,tBodyAcc_mean_Z,tBodyAcc_std_X,tBodyAcc_std_Y,tBodyAcc_std_Z,tGravityAcc_mean_X,tGravityAcc_mean_Y,tGravityAcc_mean_Z,tGravityAcc_std_X,tGravityAcc_std_Y,tGravityAcc_std_Z,tBodyAccJerk_mean_X,tBodyAccJerk_mean_Y,tBodyAccJerk_mean_Z,tBodyAccJerk_std_X,tBodyAccJerk_std_Y,tBodyAccJerk_std_Z,tBodyGyro_mean_X,tBodyGyro_mean_Y,tBodyGyro_mean_Z,tBodyGyro_std_X,tBodyGyro_std_Y,tBodyGyro_std_Z,tBodyGyroJerk_mean_X,tBodyGyroJerk_mean_Y,tBodyGyroJerk_mean_Z,tBodyGyroJerk_std_X,tBodyGyroJerk_std_Y,tBodyGyroJerk_std_Z,tBodyAccMag_mean,tBodyAccMag_std,tGravityAccMag_mean,tGravityAccMag_std,tBodyAccJerkMag_mean,tBodyAccJerkMag_std,tBodyGyroMag_mean,tBodyGyroMag_std,tBodyGyroJerkMag_mean,tBodyGyroJerkMag_std,fBodyAcc_mean_X,fBodyAcc_mean_Y,fBodyAcc_mean_Z,fBodyAcc_std_X,fBodyAcc_std_Y,fBodyAcc_std_Z,fBodyAccJerk_mean_X,fBodyAccJerk_mean_Y,fBodyAccJerk_mean_Z,fBodyAccJerk_std_X,fBodyAccJerk_std_Y,fBodyAccJerk_std_Z,fBodyGyro_mean_X,fBodyGyro_mean_Y,fBodyGyro_mean_Z,fBodyGyro_std_X,fBodyGyro_std_Y,fBodyGyro_std_Z,fBodyAccMag_mean,fBodyAccMag_std,fBodyBodyAccJerkMag_mean,fBodyBodyAccJerkMag_std,fBodyBodyGyroMag_mean,fBodyBodyGyroMag_std,fBodyBodyGyroJerkMag_mean,fBodyBodyGyroJerkMag_std
LAYING,1,0.22159824394,-0.0405139534294,-0.11320355358,-0.9280564692,-0.83682740562,-0.826061401628,-0.24888179828,0.70554977346,0.4458177198,-0.8968300184,-0.90772000676,-0.85236629022,0.0810865342,0.0038382040088,0.010834236361,-0.958482112,-0.9241492736,-0.9548551108,-0.016553093978,-0.064486124088,0.14868943626,-0.87354386782,-0.9510904402,-0.9082846626,-0.107270949192,-0.04151728689,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901596,-0.8419291525,-0.79514486386,-0.8419291525,-0.79514486386,-0.9543962646,-0.9282456284,-0.874759548,-0.81901016976,-0.96346103,-0.9358409828,-0.9390990524,-0.86706520518,-0.8826668762,-0.9244374346,-0.8336255561,-0.81289155944,-0.9570738838,-0.9224626098,-0.9480609042,-0.9641607086,-0.9322178704,-0.9605869872,-0.850249174586,-0.9521914948,-0.909302721,-0.8822964508,-0.9512320494,-0.9165825082,-0.8617676481,-0.7983009404,-0.9333003608,-0.9218039756,-0.8621901854,-0.82431943968,-0.9423669466,-0.9326606676
LAYING,2,0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.974059464791667,-0.98027739875,-0.984233296875,-0.509754238125,0.752536639375,0.646834879583333,-0.959014441458333,-0.988211865208333,-0.984230418125,0.0825972511666667,0.012254788451875,-0.00180264895625,-0.98587216875,-0.98317254125,-0.988442014375,-0.01847660675,-0.111800824583333,0.144882846104167,-0.988275232916667,-0.982291608958333,-0.960306560416667,-0.101974134208333,-0.0358590176083333,-0.0701783020833333,-0.993235849166667,-0.989567537916667,-0.98803582125,-0.977435485208333,-0.972873912916667,-0.977435485208333,-0.972873912916667,-0.987741696041667,-0.98551807625,-0.950011569583333,-0.961164053958333,-0.991767074166667,-0.989718095208333,-0.976725059791667,-0.979800877916667,-0.984380981875,-0.973246482083333,-0.981025105625,-0.984792185,-0.985813630833333,-0.982768250416667,-0.986197134583333,-0.987250255833333,-0.984987392916667,-0.989345368541667,-0.9864311425,-0.983321635416667,-0.9626718875,-0.988860685833333,-0.981910616458333,-0.963174222291667,-0.975110196458333,-0.975121387916667,-0.985374114791667,-0.984568489166667,-0.972112972708333,-0.96109837875,-0.990248702291667,-0.989492660416667
LAYING,3,0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.982776639193548,-0.962057544516129,-0.96369103483871,-0.241758478064516,0.837032099677419,0.48870318516129,-0.982512193064516,-0.981202749677419,-0.964807543870968,0.0769811125806452,0.0138041011306452,-0.00435625874355645,-0.98087931483871,-0.968710724677419,-0.982093162903226,-0.0208170540330645,-0.0718507159435484,0.137999561112903,-0.974545752096774,-0.977272653709677,-0.963505609032258,-0.10004449883871,-0.0389771765322581,-0.06873387,-0.980328645,-0.986762741935484,-0.983338279516129,-0.972791346129032,-0.964218176451613,-0.972791346129032,-0.964218176451613,-0.979484593387097,-0.976121297903226,-0.951564751451613,-0.954275110967742,-0.98671362516129,-0.983139255645161,-0.980665609032258,-0.961169982903226,-0.968332141612903,-0.983691129032258,-0.964094604193548,-0.96327908016129,-0.980513202258065,-0.968752113709677,-0.979122344354839,-0.983122615967742,-0.971044012741935,-0.983711904677419,-0.970167262903226,-0.978099682258065,-0.962341960806452,-0.975986433709677,-0.977032495483871,-0.967256854193548,-0.96552427516129,-0.968350217419355,-0.975949597903226,-0.975305377903226,-0.96458672483871,-0.955441855806452,-0.984278251290323,-0.982568158064516
LAYING,4,0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.954193738888889,-0.941714042407407,-0.962667314814815,-0.420664662222222,0.915165104259259,0.341531310555556,-0.921199965925926,-0.969816635740741,-0.976176608888889,0.0934494217777778,0.00693313213968518,-0.00641054328740741,-0.978302781111111,-0.942209488333333,-0.978511984259259,-0.00923156347222222,-0.0930128180759259,0.169720404092593,-0.973102422222222,-0.961109291851852,-0.962073755,-0.105019877685185,-0.0381230432222222,-0.0712156288333333,-0.975103204259259,-0.986855629814815,-0.983965359814815,-0.954557603148148,-0.931292216611111,-0.954557603148148,-0.931292216611111,-0.970095771666667,-0.960786430740741,-0.930236462592593,-0.947031781666667,-0.985068502037037,-0.982698213703704,-0.958802077592593,-0.938883374444444,-0.967504278888889,-0.952464881481482,-0.946380971111111,-0.962154454259259,-0.978542457407407,-0.943969987222222,-0.975383329444444,-0.980079292592593,-0.944366881666667,-0.980261236296296,-0.967203736481481,-0.972187839074074,-0.961479262592593,-0.975094739444445,-0.956182500185185,-0.965807466666667,-0.939389701296296,-0.937187975962963,-0.96228712537037,-0.958037119259259,-0.961556660185185,-0.947100325185185,-0.983609073333333,-0.982543631666667
LAYING,5,0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.965934509615385,-0.969295613269231,-0.968562516346154,-0.483470597692308,0.954890346153846,0.263644691923077,-0.945695336153846,-0.985964053846154,-0.977076645,0.0848164824230769,0.00747460829615385,-0.00304067159653846,-0.983307862115385,-0.964560430961538,-0.985419368461539,-0.0218935013501923,-0.0798709596153846,0.159894366942308,-0.979498706538462,-0.977427370576923,-0.960583776923077,-0.102114125,-0.0404446925288462,-0.07083096875,-0.983422257692308,-0.983759479230769,-0.989679592307692,-0.966777882884615,-0.958612786346154,-0.966777882884615,-0.958612786346154,-0.980141253846154,-0.977477145384615,-0.946938300576923,-0.958287921923077,-0.9864194225,-0.98377138,-0.968741678461538,-0.965419520961538,-0.977007724615385,-0.964953893653846,-0.972909186730769,-0.965882191153846,-0.982689657115385,-0.965328566153846,-0.983250309423077,-0.985625270384615,-0.96624258,-0.986135599038462,-0.975797491730769,-0.978249645769231,-0.963202948461538,-0.980705769807692,-0.977257800961539,-0.963305738076923,-0.962234984038462,-0.962525369423077,-0.977356379807692,-0.976381934807692,-0.968257068846154,-0.959263063269231,-0.984618025769231,-0.983434493076923
LAYING,6,0.248656520140351,-0.0102529170561404,-0.133119570368421,-0.934049422052632,-0.924644826385965,-0.925216100350877,-0.47670987877193,0.956593814210526,0.175867709021053,-0.887746310350877,-0.959161956491228,-0.928130738421053,0.0963481955263158,-0.00114529240245614,0.00328817288070175,-0.966341054736842,-0.933674494385965,-0.959646055263158,-0.0079605026754386,-0.107218315054386,0.179102058245614,-0.955378225087719,-0.943634949473684,-0.939141878596491,-0.111267284631579,-0.0424104289992983,-0.0717774743859649,-0.939611608245614,-0.958628819649123,-0.959579071578947,-0.918878850824561,-0.897326245964912,-0.918878850824561,-0.897326245964912,-0.954750504912281,-0.950341934385965,-0.908980174736842,-0.920914497017544,-0.955645738245614,-0.953157001578947,-0.939114254210526,-0.923706791403509,-0.938044912280702,-0.932462941461404,-0.929711219929825,-0.924004748421053,-0.967072436842105,-0.936043420175439,-0.954425844736842,-0.968619159473684,-0.935717452807017,-0.963567540877193,-0.935439769649123,-0.941771544385965,-0.932636612807018,-0.962164978596491,-0.945365097894737,-0.947136774385965,-0.91235165222807,-0.905373979824561,-0.948655471052632,-0.951552664035088,-0.930153639473684,-0.928694890175439,-0.953695957368421,-0.955504654561403
LAYING,7,0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.93651361,-0.926262668653846,-0.952978365961538,-0.502814250576923,0.393444278076923,0.907537823461538,-0.914221270096154,-0.955543549230769,-0.961908984423077,0.0968904018076923,0.0250624183634615,-0.0131653918205769,-0.980977756153846,-0.973093160192308,-0.972983064230769,-0.00282641913096154,-0.133605695057692,0.155920029769231,-0.9601268225,-0.945071935384615,-0.955294890576923,-0.105944243484615,-0.0358897425826923,-0.0671901794615385,-0.9738372325,-0.976483727307692,-0.988871878269231,-0.936392023846154,-0.907039513153846,-0.936392023846154,-0.907039513153846,-0.980127239615385,-0.967310932307692,-0.915793634807692,-0.918662459038462,-0.983008829038462,-0.971205137884615,-0.953424245576923,-0.942193953846154,-0.958611644615385,-0.931120580576923,-0.922917902307692,-0.953380646346154,-0.980393046923077,-0.972531648846154,-0.969524977692308,-0.983560175384615,-0.975886145,-0.975072995192308,-0.953684547692308,-0.957570207692308,-0.956905310961538,-0.962348254423077,-0.939727873653846,-0.9588764125,-0.927976880634615,-0.910542462919231,-0.968066259230769,-0.965359228076923,-0.941130719230769,-0.918892518653846,-0.974117912115384,-0.969403035384615
LAYING,8,0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.94304121537037,-0.93489116,-0.932491454407407,-0.405930036111111,0.589922434814815,0.719831539259259,-0.918873192333333,-0.957990036481481,-0.94183626337037,0.0878326902592593,0.0233299159137037,-0.0169218791344444,-0.973253042222222,-0.976520952037037,-0.96608757462963,0.00535361206851852,-0.0891374138592593,0.13818830737037,-0.965204017592593,-0.952039385740741,-0.96758975462963,-0.106445008314815,-0.0389735198722222,-0.0694123150925926,-0.969924077407408,-0.974186451851852,-0.987601203703704,-0.935308633888889,-0.91325033,-0.935308633888889,-0.91325033,-0.97314748962963,-0.962954517222222,-0.924253348518518,-0.932470764444444,-0.978438191296296,-0.969029111666667,-0.953538563888889,-0.951816663703704,-0.944269514074074,-0.940125298333333,-0.931236756962963,-0.931146497518519,-0.973110596111111,-0.975877437407407,-0.962111136666667,-0.975959911481482,-0.979170881666667,-0.968699222962963,-0.957903886111111,-0.957411160185185,-0.967461239074074,-0.967846360740741,-0.950316470925926,-0.970671966481481,-0.932279645518518,-0.917257979425926,-0.961792852407407,-0.963791094259259,-0.944528950555556,-0.93678697,-0.968403945925926,-0.971793279814815
LAYING,9,0.2591955368,-0.020526821662,-0.10754972144,-0.94233309,-0.9162927764,-0.9407072854,-0.5802528348,-0.1191541962,0.9578730416,-0.9218210626,-0.9699944882,-0.9712046902,0.08807344764,0.011561732718,-0.0070536778584,-0.9647404702,-0.9639966798,-0.958562455,-0.013632036148,-0.15890291983,0.101275010682,-0.9422465098,-0.9266185314,-0.9615953704,-0.10384667982,-0.027552256948,-0.0569490475,-0.945329035,-0.9621702422,-0.9770761602,-0.9308684376,-0.91512680016,-0.9308684376,-0.91512680016,-0.9633745492,-0.9550268052,-0.9071250998,-0.8985578738,-0.964524819,-0.9528015598,-0.946865494,-0.9343665984,-0.9459190006,-0.9409810272,-0.9128367508,-0.9419711636,-0.964304065,-0.9640828062,-0.955909215,-0.9686013042,-0.966634136,-0.9597147176,-0.930297921,-0.9345796594,-0.9598150092,-0.9463891504,-0.9231319366,-0.965686312,-0.9266042952,-0.921929738394,-0.9543205856,-0.9550947122,-0.9186053356,-0.9034005814,-0.9558062546,-0.9522904702
LAYING,10,0.280230574137931,-0.024294484137931,-0.117168642362069,-0.968283685,-0.946454302068966,-0.95947148637931,-0.453069737586207,-0.139297681034483,-0.031121624137931,-0.954531941896552,-0.966701156034483,-0.963045642431035,0.073815064487931,0.015698997097069,0.00716689586275862,-0.978007466724138,-0.966930793448276,-0.976256662586207,-0.019555937162069,-0.0770325657265517,0.104720478344828,-0.961713199827586,-0.953660207586207,-0.971940597413793,-0.100308254413793,-0.0388797920413793,-0.0590744912758621,-0.965900578103448,-0.966621040344828,-0.983949302758621,-0.956781819655172,-0.940301654482759,-0.956781819655172,-0.940301654482759,-0.976234435172414,-0.967556980689655,-0.937590998793103,-0.927471165517241,-0.970830848965517,-0.959632931551724,-0.96918420862069,-0.954341849137931,-0.964300845172414,-0.96796803862069,-0.946229148258621,-0.959813667810345,-0.979014668793103,-0.968039173793103,-0.972592212931034,-0.978904364137931,-0.968120692241379,-0.978582339137931,-0.953793912068966,-0.954670034482759,-0.969755777241379,-0.96454456637931,-0.953453496551724,-0.975298797068966,-0.950848109137931,-0.944304974655173,-0.968561121551724,-0.965377553448276,-0.937692642586207,-0.933701315344828,-0.960976821551724,-0.960772875517242
