activity,subject,tBodyAcc_mean_X__mean,tBodyAcc_mean_Y__mean,tBodyAcc_mean_Z__mean,tBodyAcc_std_X__mean,tBodyAcc_std_Y__mean,tBodyAcc_std_Z__mean,tGravityAcc_mean_X__mean,tGravityAcc_mean_Y__mean,tGravityAcc_mean_Z__mean,tGravityAcc_std_X__mean,tGravityAcc_std_Y__mean,tGravityAcc_std_Z__mean,tBodyAccJerk_mean_X__mean,tBodyAccJerk_mean_Y__mean,tBodyAccJerk_mean_Z__mean,tBodyAccJerk_std_X__mean,tBodyAccJerk_std_Y__mean,tBodyAccJerk_std_Z__mean,tBodyGyro_mean_X__mean,tBodyGyro_mean_Y__mean,tBodyGyro_mean_Z__mean,tBodyGyro_std_X__mean,tBodyGyro_std_Y__mean,tBodyGyro_std_Z__mean,tBodyGyroJerk_mean_X__mean,tBodyGyroJerk_mean_Y__mean,tBodyGyroJerk_mean_Z__mean,tBodyGyroJerk_std_X__mean,tBodyGyroJerk_std_Y__mean,tBodyGyroJerk_std_Z__mean,tBodyAccMag_mean__mean,tBodyAccMag_std__mean,tGravityAccMag_mean__mean,tGravityAccMag_std__mean,tBodyAccJerkMag_mean__mean,tBodyAccJerkMag_std__mean,tBodyGyroMag_mean__mean,tBodyGyroMag_std__mean,tBodyGyroJerkMag_mean__mean,tBodyGyroJerkMag_std__mean,fBodyAcc_mean_X__mean,fBodyAcc_mean_Y__mean,fBodyAcc_mean_Z__mean,fBodyAcc_std_X__mean,fBodyAcc_std_Y__mean,fBodyAcc_std_Z__mean,fBodyAccJerk_mean_X__mean,fBodyAccJerk_mean_Y__mean,fBodyAccJerk_mean_Z__mean,fBodyAccJerk_std_X__mean,fBodyAccJerk_std_Y__mean,fBodyAccJerk_std_Z__mean,fBodyGyro_mean_X__mean,fBodyGyro_mean_Y__mean,fBodyGyro_mean_Z__mean,fBodyGyro_std_X__mean,fBodyGyro_std_Y__mean,fBodyGyro_std_Z__mean,fBodyAccMag_mean__mean,fBodyAccMag_std__mean,fBodyBodyAccJerkMag_mean__mean,fBodyBodyAccJerkMag_std__mean,fBodyBodyGyroMag_mean__mean,fBodyBodyGyroMag_std__mean,fBodyBodyGyroJerkMag_mean__mean,fBodyBodyGyroJerkMag_std__mean
STANDING,1,0.278917629056604,-0.0161375901037736,-0.110601817735849,-0.995759901509434,-0.973190056415094,-0.979775876981132,0.942952000377358,-0.272983832264151,0.0134905823226415,-0.99376298509434,-0.981225957924528,-0.976324063584906,0.0753766542264151,0.00797573092830189,-0.00368524954709434,-0.994604542264151,-0.98564873245283,-0.99225117735849,-0.0239877347979245,-0.0593972209811321,0.074800751,-0.987191946603774,-0.98773444,-0.980645626981132,-0.0996092129056604,-0.0440627877924528,-0.0489505466716981,-0.992945106981132,-0.995137917358491,-0.992108467169811,-0.98427820735849,-0.981942928867925,-0.98427820735849,-0.981942928867925,-0.992367790566038,-0.993096209433962,-0.976493792830189,-0.978690028679245,-0.994966790566038,-0.994733238679245,-0.99524993264151,-0.977070847735849,-0.985297098679245,-0.99602834509434,-0.972293102075472,-0.977937259622642,-0.994630797358491,-0.985418704528302,-0.990752166037736,-0.995073759245283,-0.987018226792453,-0.992349818113208,-0.986386786037736,-0.988984455849057,-0.980773122830189,-0.987497128679245,-0.987107727735849,-0.98234533,-0.985356361132076,-0.982313804716981,-0.99254247754717,-0.992536003396226,-0.984617623396226,-0.978466072075472,-0.994815376981132,-0.994671123207547
STANDING,2,0.277911472222222,-0.0184208270166667,-0.105908536055556,-0.987271889259259,-0.957304989259259,-0.949741851296296,0.896928566851852,-0.370062696851852,0.129747161222222,-0.986685818703704,-0.97419442037037,-0.945927078703704,0.0747588597592593,0.0103291774794444,-0.00837158846722222,-0.981085715555555,-0.97105943962963,-0.982841446481481,-0.0238623875712963,-0.0820396577592593,0.0878351695481482,-0.972998629814815,-0.971441996481482,-0.964856701851852,-0.105562157888889,-0.042241953537037,-0.0546539479425926,-0.979324000740741,-0.983447258518518,-0.973610118333333,-0.965875181296296,-0.957874965,-0.965875181296296,-0.957874965,-0.980489077407407,-0.976675280185185,-0.963466341851852,-0.95394338037037,-0.983951904259259,-0.977204427777778,-0.983946739814815,-0.959871697407407,-0.962471195740741,-0.989056469814815,-0.957908842222222,-0.946433583518519,-0.980973241666667,-0.970851337962963,-0.979775152037037,-0.983007923703704,-0.973520241111111,-0.984599905185185,-0.967037112037037,-0.972576152962963,-0.960627696111111,-0.97498812462963,-0.97103605037037,-0.969754295740741,-0.964052166481481,-0.960519381481481,-0.977065295555555,-0.97516046,-0.961775904814815,-0.956788725740741,-0.977849827407407,-0.977754298148148
STANDING,3,0.280046513278689,-0.0143376555065574,-0.101621722633148,-0.96674254295082,-0.893449307213115,-0.911419015081967,0.93503077852459,-0.301735130327869,0.024763106752459,-0.982020428032787,-0.957425321803279,-0.928161577377049,0.0750900622277049,0.00771663644590164,-0.00807177934114754,-0.957086489344262,-0.941686785737705,-0.973059634918033,-0.0246626070770492,-0.0585101918262295,0.0665262054098361,-0.900462227540984,-0.927788618196721,-0.91236408147541,-0.0994602620655738,-0.0472415819016393,-0.0416832156688525,-0.940937642459016,-0.968433747868852,-0.958293011803279,-0.925430819016393,-0.915143303606557,-0.925430819016393,-0.915143303606557,-0.959303840327869,-0.948770043278689,-0.892089349344262,-0.88212522147541,-0.962339339672131,-0.957679766885246,-0.960123409508197,-0.908075353770492,-0.939507735245902,-0.969931287377049,-0.89243434852459,-0.904801254590164,-0.957666856721312,-0.943497973606557,-0.969174903442623,-0.960570921803279,-0.943948547213115,-0.975595949508197,-0.901282267540984,-0.937711157213115,-0.916172537704918,-0.901985672459016,-0.923125941147541,-0.919743846065574,-0.926968932295082,-0.921836076557377,-0.948627467704918,-0.948206814426229,-0.913682362622951,-0.883439718032787,-0.960331717868852,-0.957121510491803
STANDING,4,0.280499745892857,-0.00948911098553571,-0.0961574905535714,-0.97692058,-0.86159737875,-0.896880538392857,0.95619779125,-0.0759009061071429,0.166893825946429,-0.972908355892857,-0.917613464821429,-0.899404775267857,0.0721328379857143,-0.00653015693773214,-0.0211889890567857,-0.972586541964286,-0.938354677857143,-0.973054201071428,-0.0306449342357143,-0.061824850625,0.0755636430892857,-0.909687974464286,-0.949227146964286,-0.909995038571429,-0.103057894142857,-0.0461257201357143,-0.0490753497867857,-0.949633878571429,-0.976065174642857,-0.957982019464286,-0.906478051785714,-0.890976683392857,-0.906478051785714,-0.890976683392857,-0.963370738392857,-0.958159482142857,-0.900982100535714,-0.885144317678572,-0.967614073928571,-0.964282784285714,-0.973497549642857,-0.889549205,-0.93164342125,-0.978737637678571,-0.857380281803571,-0.887554317678571,-0.972310894285714,-0.937624242142857,-0.968648411607143,-0.975706723571428,-0.944075308928571,-0.976229505535714,-0.905464161964286,-0.955992945178571,-0.915280955357143,-0.912464793928572,-0.945825840178571,-0.91665163125,-0.917614014821429,-0.895340042142857,-0.956139283571429,-0.96003249875,-0.914209165714286,-0.887194404285714,-0.964471139464286,-0.9664302175
STANDING,5,0.282544390892857,-0.00700418554517857,-0.102171095696429,-0.968591815714286,-0.869439913392857,-0.869327321785714,0.960188699107143,-0.03871012665,0.138638436607143,-0.974088206071429,-0.931973943392857,-0.914608495714286,0.0725189859107143,-0.00221990214464286,-0.0122812220569643,-0.962647080178571,-0.931217140714286,-0.963832118928571,-0.0322711902673214,-0.050987505,0.0690945763946429,-0.910395222321429,-0.933738104107143,-0.907471555714286,-0.0922249863035714,-0.0399108188821429,-0.0422221341625,-0.941930044107143,-0.961177741607143,-0.944755343035714,-0.906104701071429,-0.87977380125,-0.906104701071429,-0.87977380125,-0.956863566071429,-0.942962047678571,-0.900671630714286,-0.867041711785714,-0.958405900892857,-0.947970723571428,-0.964500917321429,-0.890796360535714,-0.915083799107143,-0.97066840875,-0.867933178017857,-0.858231387857143,-0.963059235178571,-0.93137020875,-0.958438726607143,-0.965778920714286,-0.936202600714286,-0.96807230125,-0.909661802321429,-0.939373524464286,-0.907190836607143,-0.912780915714286,-0.931857811428571,-0.91678935625,-0.9046413925,-0.886745170714286,-0.941825903035714,-0.943601960178571,-0.904543921607143,-0.868913993928571,-0.952286438035714,-0.946196462857143
STANDING,6,0.280346248596491,-0.0181236327175439,-0.112172831947368,-0.981758159649123,-0.921493191754386,-0.925692371929825,0.945139003859649,-0.230251036140351,0.0139193473596491,-0.985583066842105,-0.96844910122807,-0.942795062280702,0.0730699604561403,0.00871883993421053,-0.00481712245438597,-0.973132635789474,-0.949362277017544,-0.967547241754386,-0.028251913022807,-0.0589823639438597,0.0767394745964912,-0.947561298596491,-0.94248658631579,-0.947782155964912,-0.103292534210526,-0.0428828304736842,-0.0506432189438597,-0.946423593157895,-0.96242216368421,-0.962758177192982,-0.945022876491228,-0.939310249649123,-0.945022876491228,-0.939310249649123,-0.967102436140351,-0.956099145964912,-0.939404744385965,-0.915891572982456,-0.963406222982456,-0.952536233859649,-0.977100287368421,-0.930336471754386,-0.942864017017544,-0.984067374035088,-0.921449111052631,-0.922067224210526,-0.97348053877193,-0.951405464912281,-0.963743518070175,-0.975235677719298,-0.950681450350877,-0.969895845789474,-0.931612384385965,-0.943273146140351,-0.943239602105263,-0.952817395263158,-0.942539174210526,-0.95445570245614,-0.945949804035088,-0.94456410754386,-0.955914005438597,-0.95538157877193,-0.926664297017544,-0.923108761578947,-0.955425138245614,-0.952088499473684
STANDING,7,0.282723539433962,-0.0145740341037736,-0.0997778303207547,-0.979307570377358,-0.923400921886792,-0.917064168490566,0.958728687924528,-0.117607048924528,-0.0516573721320755,-0.987917503962264,-0.966162998679245,-0.939161014716981,0.0751915112830189,0.00694700354075472,-0.0108420294035849,-0.976403544716981,-0.965810609622642,-0.972060053207547,-0.0291582212545283,-0.0774336443396227,0.0851045000566038,-0.94524768735849,-0.949646946792453,-0.951630777358491,-0.0901539662169811,-0.0412797611886792,-0.0545390015471698,-0.96598339754717,-0.97683775735849,-0.978166790943396,-0.942724659245283,-0.933590156792453,-0.942724659245283,-0.933590156792453,-0.973381306226415,-0.968566356037736,-0.943425564528302,-0.918438958867925,-0.977377083018868,-0.97210793,-0.976681834339623,-0.941883783773585,-0.938550519811321,-0.980541336037736,-0.919118753018868,-0.912358813773585,-0.976323086226415,-0.967165093018868,-0.968229643018868,-0.978729082830189,-0.966850290188679,-0.974533710754717,-0.938121637735849,-0.957548671320755,-0.957165056226415,-0.947891986226415,-0.945818157735849,-0.954339406415094,-0.945611450377358,-0.93728796509434,-0.967417888301887,-0.969092161886793,-0.93870498490566,-0.919848139056604,-0.973671168679245,-0.971899418301887
STANDING,8,0.279620986111111,-0.0148113067148148,-0.106114996837037,-0.988815418148148,-0.938479429074074,-0.926065255185185,0.957669921111111,-0.0904603488214815,-0.0979392024814815,-0.987690217222222,-0.958904114074074,-0.918293913703704,0.0753739045185185,0.00814951727462963,0.00322153267648148,-0.989198879814815,-0.976442140740741,-0.982610899259259,-0.0219671978203704,-0.0280117633814815,0.063688907,-0.972990379814815,-0.969421045555556,-0.974118322407407,-0.097757576,-0.0485190684259259,-0.0478483225666667,-0.981573085740741,-0.985508765185185,-0.989270900740741,-0.953762884074074,-0.937187185222222,-0.953762884074074,-0.937187185222222,-0.984920797777778,-0.979932239074074,-0.952848496851852,-0.95322478962963,-0.987580587777778,-0.982460332222222,-0.988219862222222,-0.9500491,-0.950362935555555,-0.98918374962963,-0.936231722777778,-0.919744963888889,-0.989029238518519,-0.976177675,-0.979477193333333,-0.990414086851852,-0.97858173,-0.984465744444444,-0.969677435925926,-0.972595487037037,-0.975512276666667,-0.974200997592593,-0.968055495925926,-0.975976456111111,-0.953746070740741,-0.938628186322222,-0.979745872037037,-0.979135440925926,-0.964564224074074,-0.954119826296296,-0.983709233333333,-0.981832336296296
STANDING,9,0.282310057333333,-0.0200454954022222,-0.0952747481333333,-0.975741252444444,-0.938635759333333,-0.919295805777778,0.961323502222222,-0.010383816474,0.00914769235555555,-0.989103160444445,-0.972573867555555,-0.932245295111111,0.0760032053555556,0.0130699796066667,-0.004700785502,-0.969973398888889,-0.963849332888889,-0.970584264666667,-0.029183136346,-0.060810158296,0.0992409332222222,-0.921990612,-0.946046640444444,-0.939889737333333,-0.095897704,-0.0419199574333333,-0.0575743131488889,-0.949105691555556,-0.975036530444445,-0.969726483555556,-0.945167482444445,-0.936105010444444,-0.945167482444445,-0.936105010444444,-0.969524578888889,-0.963764177777778,-0.921030223111111,-0.908291403111111,-0.969824044222222,-0.965287050888889,-0.971662692,-0.944849431777778,-0.941686874222222,-0.977579248444444,-0.938790016888889,-0.913896832222222,-0.971313768666667,-0.962624298888889,-0.967129200444445,-0.971278823333333,-0.968234579555556,-0.972588748666667,-0.916974437555556,-0.954514301555556,-0.941510336,-0.924738576444445,-0.941950576888889,-0.944942811777778,-0.946330171777778,-0.940265546444444,-0.963242884,-0.963593159555556,-0.929769067777778,-0.910909659555556,-0.967491628,-0.964770799111111
STANDING,10,0.276650300681818,-0.0155418603409091,-0.107964083931818,-0.978403481818182,-0.919561843409091,-0.941271440454545,0.954008785454545,-0.0431597830454545,0.0346980210431818,-0.991259485,-0.975410724090909,-0.959579657727273,0.0809784390227273,0.0119007630575,-0.00485841031477273,-0.964311490454545,-0.941328663409091,-0.9764306,-0.0281854325604545,-0.0876820486363636,0.103251560681818,-0.929895057954545,-0.958861164090909,-0.953681099545454,-0.104753833181818,-0.0371593000727273,-0.0584162547045455,-0.950367548409091,-0.976445016590909,-0.969051030681818,-0.951988907954545,-0.937264537954545,-0.951988907954545,-0.937264537954545,-0.965163818409091,-0.952058214545455,-0.929787259772727,-0.920486810227273,-0.971637661590909,-0.964409410454546,-0.970099814318182,-0.923378745227273,-0.955272383863636,-0.982949246136364,-0.921860476590909,-0.938098683181818,-0.963565166136364,-0.942187760454545,-0.972241512272727,-0.968612135909091,-0.944847393636364,-0.979428729090909,-0.924005912954545,-0.960323800909091,-0.950915730909091,-0.932273942727273,-0.958399857954545,-0.958901257272727,-0.9401101675,-0.945048242954545,-0.951633690454545,-0.952105964545455,-0.937786743409091,-0.922961550454545,-0.965614081363636,-0.965055815454545
